"","Data.Collector","Year","Plot","Mulch","Planted.guild","Category","QuadLocation","Mowing.treatment","Exo.grass","Exo.forb","nat.grass","nat.forb","total.cover","r.exo.grass","r.exo.forb","r.nat.grass","r.nat.forb"
"13","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Mowed",12.5,42.5,17.5,0,110,11.3636363636364,38.6363636363636,15.9090909090909,0
"14","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Edge","Unmowed",0,0,0,97.5,110,0,0,0,88.6363636363636
"15","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Mowed",22.5,67.5,0,17.5,111.5,20.1793721973094,60.5381165919283,0,15.695067264574
"16","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",7.5,17.5,0,0,112.5,6.66666666666667,15.5555555555556,0,0
"17","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Edge","Unmowed",2,22.5,4,0,113,1.76991150442478,19.9115044247788,3.53982300884956,0
"18","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",2,42.5,1,0,113,1.76991150442478,37.6106194690265,0.884955752212389,0
"19","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",0,3,0,97.5,113,0,2.65486725663717,0,86.283185840708
"20","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Mowed",17.5,32.5,0,37.5,115,15.2173913043478,28.2608695652174,0,32.6086956521739
"21","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",47.5,22.5,0,25,115,41.304347826087,19.5652173913043,0,21.7391304347826
"22","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",12.5,22.6,3,0,116.6,10.7204116638079,19.3825042881647,2.57289879931389,0
"23","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",12.5,27.5,0,0,117.5,10.6382978723404,23.4042553191489,0,0
"24","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Mowed",37.5,52.5,25,0,118,31.7796610169492,44.4915254237288,21.1864406779661,0
"25","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Mowed",7.5,12.5,0,82.5,120,6.25,10.4166666666667,0,68.75
"26","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Mowed",7.5,72.5,0,32.5,120,6.25,60.4166666666667,0,27.0833333333333
"27","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Edge","Unmowed",17.5,7.5,0,95,123,14.2276422764228,6.09756097560976,0,77.2357723577236
"28","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Edge","Mowed",27.5,57.5,22.5,0,125,22,46,18,0
"29","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",2,17.5,0,57.5,127,1.5748031496063,13.7795275590551,0,45.2755905511811
"30","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Mowed",32.5,77.5,7.5,0,130,25,59.6153846153846,5.76923076923077,0
"31","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",0,0,0,100,132.5,0,0,0,75.4716981132076
"32","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Mowed",3,92.5,0,67.5,165,1.81818181818182,56.0606060606061,0,40.9090909090909
"33","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",37.5,37.5,0,0,92.5,40.5405405405405,40.5405405405405,0,0
"34","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",37.5,37.5,0,0,92.5,40.5405405405405,40.5405405405405,0,0
"35","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",42.5,32.5,0,0,92.5,45.945945945946,35.1351351351351,0,0
"36","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",1,2,0,90,97,1.03092783505155,2.06185567010309,0,92.7835051546392
"37","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",27.5,22.5,0,5,97.5,28.2051282051282,23.0769230769231,0,5.12820512820513
"38","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",37.5,22.5,0,0,97.5,38.4615384615385,23.0769230769231,0,0
"39","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",17.5,57.5,0,0,97.5,17.9487179487179,58.974358974359,0,0
"40","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",27.5,52.5,0,0,97.5,28.2051282051282,53.8461538461538,0,0
"41","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",5,47.5,0,27.5,99.5,5.0251256281407,47.7386934673367,0,27.6381909547739
"42","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",22.5,52.5,0,17.5,99.5,22.6130653266332,52.7638190954774,0,17.5879396984925
"43","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",27.5,62.5,0,3,100.5,27.363184079602,62.1890547263682,0,2.98507462686567
"44","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",1,7.5,0,70,101,0.99009900990099,7.42574257425743,0,69.3069306930693
"45","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",27.5,72.5,0,0,102,26.9607843137255,71.078431372549,0,0
"46","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",77.5,22.5,0,0,102,75.9803921568627,22.0588235294118,0,0
"47","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",32.5,47.5,0,0,102.5,31.7073170731707,46.3414634146341,0,0
"48","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",62.5,27.5,0,0,102.5,60.9756097560976,26.8292682926829,0,0
"49","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",0,3,0,97.5,102.5,0,2.92682926829268,0,95.1219512195122
"50","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",7.5,3,0,88.5,104,7.21153846153846,2.88461538461538,0,85.0961538461538
"51","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",7.5,7.5,0,88.5,104.5,7.17703349282297,7.17703349282297,0,84.688995215311
"52","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",32.5,67.5,0,0,105,30.952380952381,64.2857142857143,0,0
"53","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",5,12.5,0,87.5,107,4.67289719626168,11.6822429906542,0,81.7757009345794
"54","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Unmowed",27.5,52.5,0,0,107.5,25.5813953488372,48.8372093023256,0,0
"55","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",2,22.5,0,70.5,108.5,1.84331797235023,20.7373271889401,0,64.9769585253456
"56","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",1,67.5,0,32.5,108.5,0.921658986175115,62.2119815668203,0,29.9539170506912
"57","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",32.5,27.5,0,47.5,110.5,29.4117647058824,24.8868778280543,0,42.9864253393665
"58","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",27.5,67.5,0,0,112.5,24.4444444444444,60,0,0
"59","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",22.5,37.5,0,45,112.5,20,33.3333333333333,0,40
"60","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",42.5,17.5,0,47.5,115,36.9565217391304,15.2173913043478,0,41.304347826087
"61","JosieJoia","2018","12 CFM","Mulch","Grass","Full Mulched","Full","Mowed",62.5,52.5,0,0,120,52.0833333333333,43.75,0,0
"62","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Unmowed",37.5,12.5,0,65,125.5,29.8804780876494,9.9601593625498,0,51.792828685259
"63","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",7.5,67.5,0,57.5,132.5,5.66037735849057,50.9433962264151,0,43.3962264150943
"64","JosieJoia","2018","12 CFM","Mulch","Forb","Full Mulched","Full","Mowed",7.5,55,0,69.5,135,5.55555555555556,40.7407407407407,0,51.4814814814815
"65","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",22.5,22.5,7.5,0,90,25,25,8.33333333333333,0
"66","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",17.5,42.5,0,32.5,92.5,18.9189189189189,45.945945945946,0,35.1351351351351
"67","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",17.5,4,7.5,0,93.5,18.716577540107,4.27807486631016,8.02139037433155,0
"68","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",1,12.5,0,77.5,94,1.06382978723404,13.2978723404255,0,82.4468085106383
"69","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",27.5,37.5,0,0,95,28.9473684210526,39.4736842105263,0,0
"70","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",42.5,47.5,3,0,95,44.7368421052632,50,3.15789473684211,0
"71","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",17.5,27.5,1,0,96.5,18.1347150259067,28.4974093264249,1.03626943005181,0
"72","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",37.5,32.5,0,0,100,37.5,32.5,0,0
"73","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",37.5,47.5,7.5,0,100,37.5,47.5,7.5,0
"74","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",22.5,42.5,3,0,101.5,22.1674876847291,41.871921182266,2.95566502463054,0
"75","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",2,22.5,0,42.5,104.5,1.91387559808612,21.5311004784689,0,40.6698564593301
"76","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",12.5,42.5,17.5,0,105,11.9047619047619,40.4761904761905,16.6666666666667,0
"77","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,0,0,87.5,106,0.943396226415094,0,0,82.5471698113208
"78","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",12.5,67.5,0,0,107.5,11.6279069767442,62.7906976744186,0,0
"79","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",7.5,27.5,0,67.5,110,6.81818181818182,25,0,61.3636363636364
"80","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",32.5,37.5,32.5,0,110,29.5454545454545,34.0909090909091,29.5454545454545,0
"81","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,0,0,87.5,111,0.900900900900901,0,0,78.8288288288288
"82","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",4,17.5,0,62.5,111.5,3.58744394618834,15.695067264574,0,56.0538116591928
"83","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",1,22.5,0,87.5,112,0.892857142857143,20.0892857142857,0,78.125
"84","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",57.5,42.5,7.5,0,112.5,51.1111111111111,37.7777777777778,6.66666666666667,0
"85","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",1,22.5,0,87.5,114,0.87719298245614,19.7368421052632,0,76.7543859649123
"86","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",47.5,42.5,17.5,0,115,41.304347826087,36.9565217391304,15.2173913043478,0
"87","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",12.5,27.5,7.5,67.5,115,10.8695652173913,23.9130434782609,6.52173913043478,58.695652173913
"88","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,0,0,82.5,116,0.862068965517241,0,0,71.1206896551724
"89","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",5,27.5,0,82.5,118,4.23728813559322,23.3050847457627,0,69.9152542372881
"90","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",47.5,42.5,1,0,118.5,40.084388185654,35.8649789029536,0.843881856540084,0
"91","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",12.5,57.5,0,17.5,120,10.4166666666667,47.9166666666667,0,14.5833333333333
"92","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",67.5,32.5,12.5,0,120,56.25,27.0833333333333,10.4166666666667,0
"93","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",12.5,42.5,7.5,3,123,10.1626016260163,34.5528455284553,6.09756097560976,2.4390243902439
"94","JosieJoia","2018","14 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,12.5,0,72.5,123.5,0.809716599190283,10.1214574898785,0,58.7044534412955
"95","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",87.5,17.5,22.5,0,127.5,68.6274509803922,13.7254901960784,17.6470588235294,0
"96","JosieJoia","2018","14 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",67.5,57.5,7.5,0,135.5,49.8154981549816,42.4354243542435,5.53505535055351,0
"97","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Edge","Unmowed",0,17.5,0,0,90.5,0,19.3370165745856,0,0
"98","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",32.5,22.5,0,0,91.5,35.5191256830601,24.5901639344262,0,0
"99","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",37.5,22.5,0,0,92.5,40.5405405405405,24.3243243243243,0,0
"100","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",42.5,37.5,0,0,92.5,45.945945945946,40.5405405405405,0,0
"101","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Edge","Unmowed",42.5,22.5,0,0,94.5,44.973544973545,23.8095238095238,0,0
"102","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",42.5,42.5,0,0,100,42.5,42.5,0,0
"103","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",27.5,37.5,0,0,100.5,27.363184079602,37.3134328358209,0,0
"104","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",42.5,52.5,0,0,101,42.0792079207921,51.980198019802,0,0
"105","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",27.5,47.5,0,0,102,26.9607843137255,46.5686274509804,0,0
"106","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Edge","Mowed",37.5,42.5,7.5,0,105,35.7142857142857,40.4761904761905,7.14285714285714,0
"107","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",5,17.5,0,67.5,106,4.71698113207547,16.5094339622642,0,63.6792452830189
"108","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",42.5,37.5,0,0,107.5,39.5348837209302,34.8837209302326,0,0
"109","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Mowed",37.5,17.5,47.5,0,108.5,34.5622119815668,16.1290322580645,43.778801843318,0
"110","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Mowed",57.5,17.5,3,4,109.5,52.5114155251142,15.9817351598174,2.73972602739726,3.65296803652968
"111","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",17.5,27.5,0,47.5,110,15.9090909090909,25,0,43.1818181818182
"112","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Mowed",1,0,0,92.5,110,0.909090909090909,0,0,84.0909090909091
"113","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Mowed",42.5,32.5,0,22.5,110,38.6363636363636,29.5454545454545,0,20.4545454545455
"114","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Mowed",27.5,7.5,0,67.5,110,25,6.81818181818182,0,61.3636363636364
"115","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",12.5,7.5,0,87.5,110.5,11.3122171945701,6.78733031674208,0,79.185520361991
"116","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Edge","Unmowed",12.5,37.5,0,0,111.5,11.2107623318386,33.6322869955157,0,0
"117","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Mowed",32.5,47.5,0,0,112.5,28.8888888888889,42.2222222222222,0,0
"118","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Edge","Mowed",27.5,7.5,0,77.5,112.5,24.4444444444444,6.66666666666667,0,68.8888888888889
"119","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Mowed",87.5,17.5,4,0,113,77.4336283185841,15.4867256637168,3.53982300884956,0
"120","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Mowed",32.5,12.5,0,62.5,113.5,28.6343612334802,11.0132158590308,0,55.0660792951542
"121","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",52.5,22.5,0,27.5,114,46.0526315789474,19.7368421052632,0,24.1228070175439
"122","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Edge","Mowed",42.5,42.5,17.5,7.5,114,37.280701754386,37.280701754386,15.3508771929825,6.57894736842105
"123","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Edge","Mowed",22.5,12.5,0,67.5,115,19.5652173913043,10.8695652173913,0,58.695652173913
"124","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Island","Mowed",37.5,67.5,0,5,115,32.6086956521739,58.695652173913,0,4.34782608695652
"125","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Out","Mowed",17.5,5,0,87.5,118.5,14.7679324894515,4.21940928270042,0,73.8396624472574
"126","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Edge","Unmowed",42.5,27.5,0,22.5,122.5,34.6938775510204,22.4489795918367,0,18.3673469387755
"127","JosieJoia","2018","15 CIM","Mulch","Forb","Island Mulched","Island","Mowed",5,1,0,110,124.5,4.01606425702811,0.803212851405622,0,88.3534136546185
"128","JosieJoia","2018","15 CIM","Mulch","Grass","Island Mulched","Out","Mowed",92.5,27.5,2,0,125,74,22,1.6,0
"129","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",17.5,17.5,1,0,90.5,19.3370165745856,19.3370165745856,1.10497237569061,0
"130","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",27.5,22.5,22.5,2,92,29.8913043478261,24.4565217391304,24.4565217391304,2.17391304347826
"131","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",7.5,57.5,1,12.5,92,8.15217391304348,62.5,1.08695652173913,13.5869565217391
"132","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",27.5,42.5,17.5,0,92.5,29.7297297297297,45.945945945946,18.9189189189189,0
"133","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",22.5,42.5,0,0,95,23.6842105263158,44.7368421052632,0,0
"134","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",22.5,47.5,12.5,0,95,23.6842105263158,50,13.1578947368421,0
"135","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",12.5,32.5,7.5,0,97,12.8865979381443,33.5051546391753,7.7319587628866,0
"136","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",17.5,3,0,72.5,97,18.0412371134021,3.09278350515464,0,74.7422680412371
"137","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",12.5,72.5,0,0,97.5,12.8205128205128,74.3589743589744,0,0
"138","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",22.5,47.5,12.5,7.5,97.5,23.0769230769231,48.7179487179487,12.8205128205128,7.69230769230769
"139","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",5,7.5,3,32.5,98,5.10204081632653,7.6530612244898,3.06122448979592,33.1632653061224
"140","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",27.5,47.5,2,0,99.5,27.6381909547739,47.7386934673367,2.01005025125628,0
"141","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",12.5,72.5,0,0,99.5,12.5628140703518,72.8643216080402,0,0
"142","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",12.5,37.5,0,12.5,100,12.5,37.5,0,12.5
"143","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",7.5,12.5,0,57.5,100,7.5,12.5,0,57.5
"144","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",3,37.5,0,22.5,100.5,2.98507462686567,37.3134328358209,0,22.3880597014925
"145","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",2,92.5,0,0,100.5,1.99004975124378,92.0398009950249,0,0
"146","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",42.5,37.5,17.5,0,100.5,42.2885572139304,37.3134328358209,17.4129353233831,0
"147","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",22.5,67.5,4,0,101.5,22.1674876847291,66.5024630541872,3.94088669950739,0
"148","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",2,67.5,0,0,102,1.96078431372549,66.1764705882353,0,0
"149","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",32.5,22.5,0,0,102.5,31.7073170731707,21.9512195121951,0,0
"150","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",12.5,5,0,72.5,102.5,12.1951219512195,4.8780487804878,0,70.7317073170732
"151","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",12.5,82.5,2,0,104.5,11.9617224880383,78.9473684210526,1.91387559808612,0
"152","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",7.5,37.5,0,17.5,105.5,7.10900473933649,35.5450236966825,0,16.5876777251185
"153","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Mowed",7.5,4,0,77.5,106.5,7.04225352112676,3.75586854460094,0,72.7699530516432
"154","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",12.5,47.5,12.5,0,107,11.6822429906542,44.392523364486,11.6822429906542,0
"155","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,27.5,0,21.5,107.5,0.930232558139535,25.5813953488372,0,20
"156","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",27.5,62.5,5,0,107.5,25.5813953488372,58.1395348837209,4.65116279069767,0
"157","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Mowed",72.5,12.5,27.5,0,116.5,62.2317596566524,10.7296137339056,23.6051502145923,0
"158","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",17.5,47.5,3,0,117.5,14.8936170212766,40.4255319148936,2.5531914893617,0
"159","JosieJoia","2018","17 CFNM","No Mulch","Forb","Full Not Mulched","Full","Unmowed",1,22.5,0,17.5,122.5,0.816326530612245,18.3673469387755,0,14.2857142857143
"160","JosieJoia","2018","17 CFNM","No Mulch","Grass","Full Not Mulched","Full","Unmowed",22.5,52.5,0,0,127.5,17.6470588235294,41.1764705882353,0,0
"161","JosieJoia","2018","18 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",4,52.5,0,0,94,4.25531914893617,55.8510638297872,0,0
"162","JosieJoia","2018","18 CIM","Mulch","Grass","Island Mulched","Edge","Mowed",12.5,62.5,12.5,0,95,13.1578947368421,65.7894736842105,13.1578947368421,0
"163","JosieJoia","2018","18 CIM","Mulch","Grass","Island Mulched","Out","Mowed",12.5,62.5,3,0,95.5,13.0890052356021,65.4450261780105,3.1413612565445,0
"164","JosieJoia","2018","18 CIM","Mulch","Forb","Island Mulched","Island","Mowed",7.5,72.5,0,0,97.5,7.69230769230769,74.3589743589744,0,0
"165","JosieJoia","2018","18 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",17.5,67.5,0,0,97.5,17.9487179487179,69.2307692307692,0,0
