"","Year","Data.Collector","Plot","ID","Mulch","Planted.guild","Category","Mowing.treatment","Planting.Type","QuadLocation","Exo.grass","Exo.forb","nat.grass","nat.forb","Bro.car","Sti.pul","Hor.bra","Gri.str","Ach.mil","Sym.chi","Jun.pat"
"36","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",92.5,27.5,0,17.5,0,0,0,0,0,17.5,0
"37","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",42.5,37.5,77.5,0,27.5,32.5,17.5,0,0,0,0
"38","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",27.5,97.5,2,0,1,0,1,0,0,0,0
"39","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",77.5,67.5,16.5,0,4,0,12.5,0,0,0,0
"40","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",22.5,82.5,15.5,0,7.5,4,4,0,0,0,0
"41","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",87.5,47.5,0,3,0,0,0,0,0,3,0
"42","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",57.5,27.5,0,57.5,0,0,0,57.5,0,0,0
"43","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",57.5,22.5,27.5,0,27.5,0,0,0,0,0,0
"44","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",52.5,52.5,45,0,32.5,0,12.5,0,0,0,0
"45","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",17.5,77.5,22.5,82.5,22.5,0,0,82.5,0,0,0
"46","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",7.5,57.5,37.5,7.5,37.5,0,0,0,0,7.5,0
"47","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",47.5,87.5,25,0,17.5,0,7.5,0,0,0,0
"48","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",22.5,87.5,50,0,12.5,37.5,0,0,0,0,0
"49","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",37.5,27.5,0,64.5,0,0,0,62.5,2,0,0
"50","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",67.5,22.5,0,50,0,0,0,7.5,0,42.5,0
"51","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",57.5,47.5,31.5,0,27.5,0,4,0,0,0,0
"52","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",57.5,52.5,30,0,7.5,0,22.5,0,0,0,0
"53","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",7.5,92.5,0,52.5,0,0,0,0,0,52.5,0
"54","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",7.5,97.5,7.5,7.5,7.5,0,0,7.5,0,0,0
"55","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",72.5,52.5,33,0,17.5,12.5,3,0,0,0,0
"56","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",22.5,67.5,45,0,17.5,27.5,0,0,0,0,0
"57","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",92.5,22.5,0,9.5,0,0,0,7.5,2,0,0
"58","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",92.5,22.5,0,7.5,0,0,0,0,7.5,0,0
"59","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",52.5,62.5,34,0,17.5,4,12.5,0,0,0,0
"60","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",67.5,47.5,3,0,3,0,0,0,0,0,0
"61","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",92.5,17.5,0,7.5,0,0,0,0,0,7.5,0
"62","2015","Schreiber",4,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",57.5,92.5,0,0,0,0,0,0,0,0,0
"63","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",32.5,72.5,35,0,27.5,0,7.5,0,0,0,0
"64","2015","Schreiber",4,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",57.5,87.5,7.5,0,7.5,0,0,0,0,0,0
"65","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",97.5,17.5,0,7.5,0,0,0,0,7.5,0,0
"66","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",72.5,0,0,62.5,0,0,0,0,62.5,0,0
"67","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",100,0,0,0,0,0,0,0,0,0,0
"68","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",100,12.5,0,0,0,0,0,0,0,0,0
"69","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",97.5,7.5,2,0,0,0,2,0,0,0,0
"70","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",92.5,22.5,7.5,0,7.5,0,0,0,0,0,0
"71","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",92.5,17.5,7.5,0,7.5,0,0,0,0,0,0
"72","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",100,2.5,2,0,2,0,0,0,0,0,0
"73","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",100,2.5,0,0,0,0,0,0,0,0,0
"74","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",100,12.5,0,0,0,0,0,0,0,0,0
"75","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",92.5,17.5,0,7.5,0,0,0,0,7.5,0,0
"76","2015","Schreiber",7,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",57.5,7.5,0,52.5,0,0,0,52.5,0,0,0
"77","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",92.5,2.5,7.5,0,0,0,7.5,0,0,0,0
"78","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",87.5,37.5,4,0,0,0,4,0,0,0,0
"79","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",100,2.5,0,0,0,0,0,0,0,0,0
"80","2015","Schreiber",7,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",97.5,12.5,0,0,0,0,0,0,0,0,0
"81","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",97.5,17.5,0,17.5,0,0,0,0,0,17.5,0
"82","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",77.5,0,72.5,0,12.5,0,22.5,0,0,0,37.5
"83","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",47.5,52.5,0,1,0,0,0,0,1,0,0
"84","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",92.5,27.5,0,3,0,0,0,0,3,0,0
"85","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",52.5,37.5,37.5,0,7.5,17.5,12.5,0,0,0,0
"86","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",77.5,22.5,47.5,0,17.5,7.5,22.5,0,0,0,0
"87","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",42.5,32.5,60,0,17.5,0,42.5,0,0,0,0
"88","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",42.5,27.5,65,0,42.5,0,22.5,0,0,0,0
"89","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",97.5,27.5,0,17.5,0,0,0,0,17.5,0,0
"90","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",92.5,47.5,0,0,0,0,0,0,0,0,0
"91","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",97.5,17.5,0,0,0,0,0,0,0,0,0
"92","2015","Schreiber",9,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",87.5,37.5,22.5,0,22.5,0,0,0,0,0,0
"93","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",77.5,82.5,12.5,0,0,0,12.5,0,0,0,0
"94","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",67.5,62.5,27.5,0,7.5,12.5,7.5,0,0,0,0
"95","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",77.5,52.5,11.5,0,7.5,0,4,0,0,0,0
"96","2015","Schreiber",9,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",82.5,37.5,32.5,0,0,0,32.5,0,0,0,0
"97","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",57.5,7.5,0,40,0,0,0,0,32.5,7.5,0
"98","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",82.5,17.5,22.5,0,0,0,0,0,0,0,22.5
"99","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",27.5,32.5,0,57.5,0,0,0,0,57.5,0,0
"100","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",22.5,12.5,0,95,0,0,0,62.5,32.5,0,0
"101","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",87.5,17.5,15,0,7.5,0,7.5,0,0,0,0
"102","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",82.5,17.5,32.5,0,0,0,32.5,0,0,0,0
"103","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",92.5,12.5,17.5,0,0,0,17.5,0,0,0,0
"104","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",92.5,7.5,20.5,0,0,3,17.5,0,0,0,0
"105","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",27.5,17.5,0,69.5,0,0,0,67.5,2,0,0
"106","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",17.5,12.5,0,97.5,0,0,0,97.5,0,0,0
"107","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",22.5,2.5,0,82.5,0,0,0,82.5,0,0,0
"108","2015","Schreiber",12,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",52.5,12.5,22.5,47.5,0,0,22.5,47.5,0,0,0
"109","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",62.5,17.5,45,0,17.5,0,27.5,0,0,0,0
"110","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",92.5,12.5,4,0,0,0,4,0,0,0,0
"111","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",67.5,2.5,52.5,0,0,0,52.5,0,0,0,0
"112","2015","Schreiber",12,"CFM","Mulch","Grass","Full Mulch","Mowed","Full","Full",77.5,27.5,22.5,0,0,0,22.5,0,0,0,0
"113","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",97.5,22.5,0,0,0,0,0,0,0,0,0
"114","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",92.5,32.5,0,7.5,0,0,0,7.5,0,0,0
"115","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",92.5,17.5,17.5,0,17.5,0,0,0,0,0,0
"116","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",97.5,37.5,0,0,0,0,0,0,0,0,0
"117","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",27.5,17.5,0,72.5,0,0,0,72.5,0,0,0
"118","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",17.5,42.5,0,55,0,0,0,27.5,27.5,0,0
"119","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",67.5,32.5,17.5,0,17.5,0,0,0,0,0,0
"120","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",42.5,77.5,24.5,0,22.5,0,2,0,0,0,0
"121","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",57.7,52.5,0,3,0,0,0,3,0,0,0
"122","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",57.5,22.5,0,53.5,0,0,0,52.5,1,0,0
"123","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",32.5,7.5,80,0,47.5,0,32.5,0,0,0,0
"124","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",27.5,37.5,45,22.5,27.5,0,17.5,0,22.5,0,0
"125","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",92.5,27.5,0,18.5,0,0,0,1,17.5,0,0
"126","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",87.5,27.5,0,22.5,0,0,0,0,0,22.5,0
"127","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",32.5,32.5,32.5,0,17.5,7.5,7.5,0,0,0,0
"128","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",42.5,42.5,62.5,0,7.5,32.5,22.5,0,0,0,0
"129","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",97.5,12.5,0,0,0,0,0,0,0,0,0
"130","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",97.5,22.5,0,2,0,0,0,0,2,0,0
"131","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",97.5,7.5,0,0,0,0,0,0,0,0,0
"132","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",87.5,37.5,7.5,0,7.5,0,0,0,0,0,0
"133","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",72.5,22.5,0,36.5,0,0,0,32.5,0,4,0
"134","2015","Schreiber",15,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",32.5,32.5,12.5,47.5,0,0,12.5,0,0,47.5,0
"135","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",52.5,72.5,0,0,0,0,0,0,0,0,0
"136","2015","Schreiber",15,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",82.5,27.5,0,0,0,0,0,0,0,0,0
"137","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",32.5,2.5,0,77.5,0,0,0,77.5,0,0,0
"138","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",7.5,0,0,97.5,0,0,0,97.5,0,0,0
"139","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",97.5,7.5,0,0,0,0,0,0,0,0,0
"140","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",82.5,0,42.5,0,0,0,42.5,0,0,0,0
"141","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",97.5,22.5,0,0,0,0,0,0,0,0,0
"142","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",47.5,57.5,0,0,0,0,0,0,0,0,0
"143","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",82.5,17.5,51.5,0,4,0,47.5,0,0,0,0
"144","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",92.5,0,17.5,0,0,0,17.5,0,0,0,0
"145","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",57.5,12.5,0,57.5,0,0,0,57.5,0,0,0
"146","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",97.5,7.5,0,0,0,0,0,0,0,0,0
"147","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",27.5,32.5,52.5,0,0,0,52.5,0,0,0,0
"148","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",87.5,17.5,22.5,0,0,0,22.5,0,0,0,0
"149","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",92.5,12.5,0,0,0,0,0,0,0,0,0
"150","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",92.5,42.5,0,0,0,0,0,0,0,0,0
"151","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",87.5,12.5,17.5,0,0,0,17.5,0,0,0,0
"152","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",82.5,2.5,32.5,0,0,0,32.5,0,0,0,0
"153","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",97.5,2.5,0,1,0,0,0,1,0,0,0
"154","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",97.5,2.5,0,7.5,0,0,0,7.5,0,0,0
"155","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",97.5,0,0,0,0,0,0,0,0,0,0
"156","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",92.5,12.5,4,0,0,0,4,0,0,0,0
"157","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",72.5,67.5,0,0,0,0,0,0,0,0,0
"158","2015","Schreiber",18,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",97.5,7.5,0,0,0,0,0,0,0,0,0
"159","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",97.5,2.5,0,0,0,0,0,0,0,0,0
"160","2015","Schreiber",18,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",72.5,0,0,0,0,0,0,0,0,0,0
"161","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",97.5,0,0,4,0,0,0,0,4,0,0
"162","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",97.5,2.5,0,0,0,0,0,0,0,0,0
"163","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",87.5,2.5,27.5,0,0,0,27.5,0,0,0,0
"164","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",57.5,7.5,22.5,0,22.5,0,0,0,0,0,0
"165","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",97.5,17.5,0,0,0,0,0,0,0,0,0
"166","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",72.5,32.5,NA,7.5,0,NA,0,0,7.5,0,0
"167","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",62.5,22.5,31.5,0,27.5,0,4,0,0,0,0
"168","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",42.5,32.5,30,0,7.5,0,22.5,0,0,0,0
"169","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",97.5,2.5,0,0,0,0,0,0,0,0,0
"170","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",97.5,2.5,0,0,0,0,0,0,0,0,0
"171","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",62.5,12.5,50,0,7.5,0,42.5,0,0,0,0
"172","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",87.5,2.5,27.5,0,0,0,27.5,0,0,0,0
"173","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",97.5,2.5,0,7.5,0,0,0,0,7.5,0,0
"174","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",97.5,7.5,0,0,0,0,0,0,0,0,0
"175","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",62.5,7.5,26,0,12.5,1,12.5,0,0,0,0
"176","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",62.5,7.5,45,0,27.5,0,17.5,0,0,0,0
"177","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",97.5,12.5,0,0,0,0,0,0,0,0,0
"178","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",72.5,42.5,0,1,0,0,0,0,1,0,0
"179","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",57.5,2.5,55,0,42.5,0,12.5,0,0,0,0
"180","2015","Schreiber",19,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",97.5,2.5,17.5,0,0,0,17.5,0,0,0,0
"181","2015","Schreiber",19,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",97.5,7.5,0,0,0,0,0,0,0,0,0
